ticker,date,daily_volatility
AAPL,2023-02-07,4.589996337890625
NFLX,2023-02-07,10.000000000000057
GOOG,2023-02-07,5.122001647949233
MSFT,2023-02-07,8.69000244140625
AAPL,2023-02-08,3.410003662109375
NFLX,2023-02-08,9.880004882812614
MSFT,2023-02-08,10.550018310546875
GOOG,2023-02-08,5.125
AAPL,2023-02-09,3.910003662109375
NFLX,2023-02-09,12.089996337890625
MSFT,2023-02-09,11.180023193359375
GOOG,2023-02-09,6.75
AAPL,2023-02-10,2.1199951171875
NFLX,2023-02-10,15
MSFT,2023-02-10,3.42999267578125
GOOG,2023-02-10,2.4899978637695312
AAPL,2023-02-13,3.339996337890625
NFLX,2023-02-13,15.45001220703125
MSFT,2023-02-13,7.45001220703125
GOOG,2023-02-13,1.2999954223632955
AAPL,2023-02-14,2.910003662109375
NFLX,2023-02-14,10.350006103515625
MSFT,2023-02-14,5.69000244140625
GOOG,2023-02-14,2.525001525878892
AAPL,2023-02-15,2.6199951171875
GOOG,2023-02-15,2.9799957275390625
NFLX,2023-02-15,8.6400146484375
MSFT,2023-02-15,4.550018310546875
NFLX,2023-02-16,11.190002441406307
MSFT,2023-02-16,4.839996337890625
AAPL,2023-02-16,2.9799957275390625
GOOG,2023-02-16,2.9099960327148295
AAPL,2023-02-17,2.149993896484375
GOOG,2023-02-17,2.3000030517577983
MSFT,2023-02-17,4.089996337890625
NFLX,2023-02-17,6.55999755859375
GOOG,2023-02-21,1.4150009155273438
MSFT,2023-02-21,3.9000091552734375
NFLX,2023-02-21,7.709991455078125
AAPL,2023-02-21,2.8899993896484375
GOOG,2023-02-22,1.489997863769517
MSFT,2023-02-22,4
NFLX,2023-02-22,9.089996337890625
AAPL,2023-02-22,2.7899932861328125
GOOG,2023-02-23,2.119995117187486
MSFT,2023-02-23,6.360000610351591
NFLX,2023-02-23,16.980010986328125
AAPL,2023-02-23,3.0999908447265625
GOOG,2023-02-24,1.269996643066392
MSFT,2023-02-24,2.8999938964844034
NFLX,2023-02-24,6.980010986328125
AAPL,2023-02-24,1.470001220703125
GOOG,2023-02-27,0.8399963378906392
MSFT,2023-02-27,3.4300079345703125
NFLX,2023-02-27,7.8800048828125
AAPL,2023-02-27,1.720001220703125
MSFT,2023-02-28,2.760009765625057
NFLX,2023-02-28,6.449981689453125
AAPL,2023-02-28,2.25
GOOG,2023-02-28,1.9300003051757955
MSFT,2023-03-01,5.1399993896484375
NFLX,2023-03-01,14.240020751953125
AAPL,2023-03-01,2.220001220703125
GOOG,2023-03-01,1.349998474121108
AAPL,2023-03-02,2.8100128173828125
GOOG,2023-03-02,2.7100067138671875
NFLX,2023-03-02,5.19000244140625
MSFT,2023-03-02,5.7899932861328125
NFLX,2023-03-03,6.66998291015625
GOOG,2023-03-03,1.4499969482421875
MSFT,2023-03-03,4.2299957275390625
AAPL,2023-03-03,3.779998779296875
NFLX,2023-03-06,11.459991455078125
AAPL,2023-03-06,2.839996337890625
GOOG,2023-03-06,2
MSFT,2023-03-06,4.139999389648466
NFLX,2023-03-07,7.67999267578125
AAPL,2023-03-07,2.899993896484375
GOOG,2023-03-07,2.245994567871108
MSFT,2023-03-07,4.3000030517578125
NFLX,2023-03-08,6.079986572265625
AAPL,2023-03-08,1.6399993896484375
MSFT,2023-03-08,3.729995727539091
GOOG,2023-03-08,1.834999084472642
NFLX,2023-03-09,17.6300048828125
AAPL,2023-03-09,4.30999755859375
GOOG,2023-03-09,3.564994812011733
MSFT,2023-03-09,7.979995727539006
NFLX,2023-03-10,9.790008544921875
AAPL,2023-03-10,3.3300018310546875
GOOG,2023-03-10,2.379997253417983
MSFT,2023-03-10,5.189987182617216
GOOG,2023-03-13,3.1399993896484233
MSFT,2023-03-13,12.180007934570341
AAPL,2023-03-13,5.44000244140625
NFLX,2023-03-13,13.910003662109375
MSFT,2023-03-14,5.210006713867159
GOOG,2023-03-14,2.0500030517577983
AAPL,2023-03-14,3.29998779296875
NFLX,2023-03-14,7.140014648437557
MSFT,2023-03-15,7.27001953125
AAPL,2023-03-15,3.3300018310546875
GOOG,2023-03-15,4.209999084472656
NFLX,2023-03-15,14.029998779296818
MSFT,2023-03-16,13.279998779296818
GOOG,2023-03-16,6.0999984741210795
AAPL,2023-03-16,4.82000732421875
NFLX,2023-03-16,14.8900146484375
MSFT,2023-03-17,7.009979248046875
GOOG,2023-03-17,2.739997863769517
AAPL,2023-03-17,2.4600067138671875
NFLX,2023-03-17,10.760009765625
MSFT,2023-03-20,7.6300048828125
GOOG,2023-03-20,1.7900009155273295
AAPL,2023-03-20,3.670013427734375
NFLX,2023-03-20,11.5
GOOG,2023-03-21,4.099998474121094
AAPL,2023-03-21,2.8600006103515625
MSFT,2023-03-21,5.480010986328125
NFLX,2023-03-21,7.490020751953125
MSFT,2023-03-22,8.860015869140625
AAPL,2023-03-22,4.3300018310546875
GOOG,2023-03-22,3.3000030517578267
NFLX,2023-03-22,12.910003662109375
GOOG,2023-03-23,1.6909942626952983
MSFT,2023-03-23,5.859985351562443
AAPL,2023-03-23,3.8700103759765625
NFLX,2023-03-23,18.639984130859375
NFLX,2023-03-24,11.199981689453125
MSFT,2023-03-24,5.350006103515625
GOOG,2023-03-24,1.420005798339858
AAPL,2023-03-24,2.489990234375
NFLX,2023-03-27,12.029998779296875
MSFT,2023-03-27,5.94000244140625
AAPL,2023-03-27,2.9000091552734375
GOOG,2023-03-27,2.7700042724609517
MSFT,2023-03-28,4.09002685546875
NFLX,2023-03-28,12.040008544921875
AAPL,2023-03-28,2.510009765625
GOOG,2023-03-28,2.720001220703125
NFLX,2023-03-29,7.1199951171875
MSFT,2023-03-29,2.730010986328125
AAPL,2023-03-29,1.6999969482421875
GOOG,2023-03-29,1.7900009155273438
NFLX,2023-03-30,7.990020751953125
MSFT,2023-03-30,2.97998046875
AAPL,2023-03-30,1.1999969482421875
GOOG,2023-03-30,1.3199996948242188
